Author,Rank,Rating,Score,Title,Votes
Kristine Kathryn Rusch (Goodreads Author),350,3.53,score: 269,Diving into the Wreck,5
Pamela Sargent (Goodreads Author) (Editor),352,4.20,score: 267,"Women of Wonder, the Classic Years: Science Fiction by Women from the 1940s to the 1970s",4
Maria V. Snyder (Goodreads Author),352,3.82,score: 267,Inside Out,3
Karen Lord,354,3.59,score: 266,The Best of All Possible Worlds,3
Margaret Weis (Goodreads Author),355,4.15,score: 265,Time of the Twins,3
Karen Joy Fowler,356,3.45,score: 264,Sarah Canary,3
Kage Baker,357,3.85,score: 262,The Children of the Company,4
Sara Creasy (Goodreads Author),357,3.78,score: 262,Children of Scarabaeus,3
Ursula K. Le Guin,357,liked,score: 262,A Fisherman of the Inland Sea,3
Ann Aguirre (Goodreads Author),360,3.89,score: 259,Perdition,4
Ursula K. Le Guin,361,4.21,score: 258,"Worlds of Exile and Illusion: Rocannon's World, Planet of Exile, City of Illusions",3
Margaret Peterson Haddix,362,3.73,score: 257,Turnabout,3
Kathleen Ann Goonan,362,3.46,score: 257,Queen City Jazz,3
Sharon Lee (Goodreads Author),364,4.47,score: 256,Partners In Necessity,4
Kristine Kathryn Rusch (Goodreads Author),364,3.96,score: 256,Extremes,4
Tanith Lee,366,3.90,score: 255,"Sabella, or, The Bloodstone",3
Karen Lord,366,3.85,score: 255,Redemption in Indigo,3
C.J. Cherryh (Goodreads Author),368,3.97,score: 253,The Collected Short Fiction of C.J. Cherryh,4
Linda Nagata (Goodreads Author),368,3.88,score: 253,The Bohr Maker,3
Linnea Sinclair (Goodreads Author),370,3.63,score: 251,Gabriel's Ghost,5
Brenda Cooper (Goodreads Author),371,3.63,score: 250,The Silver Ship and the Sea,3
Gemma Malley,371,3.71,score: 250,The Declaration,3
Susan Grant (Goodreads Author),373,3.70,score: 248,Contact,4
Carolyn Ives Gilman,374,liked,score: 247,Halfway Human,3
Gwyneth Jones,374,3.47,score: 247,Life,3
Linnea Sinclair (Goodreads Author),374,3.86,score: 247,Shades of Dark,4
Elizabeth Bear (Goodreads Author),374,3.55,score: 247,New Amsterdam,4
Kage Baker,378,3.94,score: 246,The Life of the World to Come,4
Eleanor Arnason,378,3.82,score: 246,A Woman of the Iron People,4
Carolyn Ives Gilman,380,3.67,score: 243,Dark Orbit,3
Franz Kafka,381,3.80,score: 242,La Métamorphose,3
Jo Walton (Goodreads Author),382,3.77,score: 241,My Real Children,3
Gwyneth Jones,383,3.37,score: 240,White Queen,3
Diane Duane (Goodreads Author),383,3.93,score: 240,The Romulan Way,3
Elizabeth Moon,383,3.97,score: 240,Sporting Chance,4
J.M. Dillard,386,3.56,score: 239,Demons,3
Kass Morgan (Goodreads Author),387,3.75,score: 238,Day 21,3
Margaret Peterson Haddix,388,4.02,score: 237,Double Identity,3
Elizabeth Moon,389,4.06,score: 236,Once a Hero,4
Marion Zimmer Bradley,390,4.08,score: 234,The Forbidden Circle,3
Susan Grant (Goodreads Author),390,3.59,score: 234,The Legend of Banzai Maguire,4
Janet E. Morris (Goodreads Author),392,4.01,score: 233,Cruiser Dreams,3
Elizabeth Moon,393,3.99,score: 228,Change of Command,3
Marion Zimmer Bradley,394,4.08,score: 227,Heritage and Exile,3
C.J. Cherryh (Goodreads Author),394,3.82,score: 227,Alternate Realities,3
Carol Emshwiller,396,3.69,score: 225,The Mount,3
Ilona Andrews (Goodreads Author),396,4.52,score: 225,Magic Breaks,3
Sharon Lee (Goodreads Author),396,4.43,score: 225,The Dragon Variation,3
J.M. Dillard,399,3.53,score: 222,Mindshadow,3
Rokeya Sakhawat Hossain,399,3.88,score: 222,Sultana's Dream: And Selections from The Secluded Ones,3
Mary E. Pearson (Goodreads Author),401,3.69,score: 221,The Adoration of Jenna Fox,3
Leigh Brackett,402,4.03,score: 220,The Best of Leigh Brackett,4
Pamela Zoline,403,3.89,score: 219,The Heat Death of the Universe and Other Stories,3
Emmi Itäranta (Goodreads Author),404,3.71,score: 217,Memory of Water,3
C.J. Cherryh (Goodreads Author),405,3.90,score: 215,Tripoint,4
J.M. Dillard,405,3.56,score: 215,Bloodthirst,3
Nnedi Okorafor (Goodreads Author),405,3.97,score: 215,The Shadow Speaker,3
Ilona Andrews (Goodreads Author),405,4.44,score: 215,Magic Strikes,3
Marion Zimmer Bradley,409,3.96,score: 214,The Alton Gift,3
Nalo Hopkinson,410,3.85,score: 213,Brown Girl in the Ring,3
Tanya Huff,411,4.18,score: 212,A Confederation of Valor,5
Sigrid Nunez,411,2.99,score: 212,Salvation City,3
C.J. Cherryh (Goodreads Author),413,4.07,score: 211,Finity's End,4
Catherine Asaro (Goodreads Author),413,3.93,score: 211,The Final Key,3
Kage Baker,415,3.61,score: 210,Not Less Than Gods,3
Ursula K. Le Guin,415,3.81,score: 210,Changing Planes,3
Marion Zimmer Bradley,415,4.03,score: 210,The Heritage of Hastur,3
Julianna Baggott (Goodreads Author),418,3.74,score: 208,Pure,3
Sherrilyn Kenyon (Goodreads Author),419,4.19,score: 206,Born of the Night,3
Sheila Finch,420,3.48,score: 201,The Guild of Xenolinguists,3
Susan Grant (Goodreads Author),420,3.75,score: 201,Moonstruck,4
Susan Jane Bigelow (Goodreads Author),422,3.49,score: 200,Broken,2
Elyse Draper (Goodreads Author),422,3.96,score: 200,Freewill,2
Pippa Jay (Goodreads Author),422,4.47,score: 200,Reboot,2
Alison Sinclair (Goodreads Author),422,3.69,score: 200,Cavalcade,2
Lani Woodland (Goodreads Author),422,4.41,score: 200,Stronger,2
Katherine McIntyre (Goodreads Author),422,3.73,score: 200,An Airship Named Desire,2
Leonie Rogers (Goodreads Author),422,4.23,score: 200,Frontier Resistance,2
M.A. Phipps (Goodreads Author),422,4.13,score: 200,Ultraxenopia,2
Jamie Zakian (Goodreads Author),422,3.29,score: 200,Emergence,2
Christina Engela (Goodreads Author),422,4.08,score: 200,Blachart,2
M.C. Frank (Goodreads Author),422,3.98,score: 200,No Ordinary Star,2
Rori I. (Goodreads Author),422,4.06,score: 200,Republic's Chosen,2
Julie E. Czerneda (Goodreads Author),422,4.11,score: 200,Search Image,2
Zoe Robertson (Goodreads Author),422,4.24,score: 200,Insatiable Machine,2
Haley Cavanagh (Goodreads Author),422,4.24,score: 200,Astraeus,2
Michelle Browne (Goodreads Author),437,4.04,score: 199,The Stolen: Two Short Stories,2
Emily Devenport (Goodreads Author),437,3.73,score: 199,Broken Time,2
Autumn Christian (Goodreads Author),439,3.86,score: 198,The Crooked God Machine,2
Leonie Rogers (Goodreads Author),439,4.27,score: 198,Frontier Incursion,2
S. Usher Evans (Goodreads Author),441,3.97,score: 197,Double Life,2
Ilona Andrews (Goodreads Author),441,4.46,score: 197,Magic Bleeds,3
Sue Burke (Goodreads Author),441,3.94,score: 197,Semiosis,2
J.C. Cassels (Goodreads Author),444,4.17,score: 196,Hero's End,2
Stephanie Saulter (Goodreads Author),444,4.14,score: 196,Binary,2
Susan Palwick,446,3.88,score: 195,Shelter,3
J.C. Cassels (Goodreads Author),446,3.67,score: 195,Tales From The SFR Brigade,2
Sarah A. Hoyt,446,3.73,score: 195,A Few Good Men,2
Misa Buckley (Goodreads Author),449,4.50,score: 194,Star Attraction,2
Ilona Andrews (Goodreads Author),449,4.28,score: 194,Gunmetal Magic,3
Susan Ee (Goodreads Author),449,4.17,score: 194,Angelfall,2
Valjeanne Jeffers (Goodreads Author),452,4.71,score: 193,Stealer of Souls,2
Kit Reed,452,3.17,score: 193,Thinner Than Thou,2
G.S. Jennsen (Goodreads Author),452,4.32,score: 193,Transcendence: Aurora Rising Book Three,2
Shanna Lauffey,452,3.89,score: 193,Time Shifters,2
Jane S. Fancher,456,3.64,score: 192,Groundties,3
R. Lee Smith (Goodreads Author),456,3.81,score: 192,Heat,2
Abi Ketner (Goodreads Author),456,4.13,score: 192,Hunted,2
Chris Moriarty (Goodreads Author),459,3.78,score: 191,Spin Control,3
Julian May,459,3.65,score: 191,Perseus Spur,2
Pippa Jay (Goodreads Author),459,4.62,score: 191,Gethyon,2
Christie Yant (Goodreads Author) (Editor),459,4.12,score: 191,"Lightspeed Magazine, June 2014: Women Destroy Science Fiction! Special Issue",3
C.J. Cherryh (Goodreads Author),463,4.09,score: 190,The Kif Strike Back,5
Marion Zimmer Bradley (Editor / Contributor),464,3.91,score: 189,Towers of Darkover,3
C.J. Cherryh (Goodreads Author),464,4.09,score: 189,Chanur's Legacy,4
Veronica Roth (Goodreads Author),464,3.77,score: 189,Carve the Mark,2
Misa Buckley (Goodreads Author),467,4.15,score: 188,Tin Cat,2
Kathleen Ann Goonan,467,3.66,score: 188,Crescent City Rhapsody,2
Melisse Aires (Goodreads Author),467,3.41,score: 188,Her Cyborg Awakes,2
Daphne du Maurier,467,3.85,score: 188,The House on the Strand,2
E.J. Fisch (Goodreads Author),467,4.40,score: 188,Ronan,2
Abbi Glines (Goodreads Author),472,4.19,score: 187,Fallen Too Far,2
L. Timmel Duchamp,473,3.65,score: 186,Alanya to Alanya,2
Tara K. Harper,473,4.09,score: 186,Shadow Leader,2
Jessica E. Subject (Goodreads Author),473,3.71,score: 186,Unknown Futures,2
J M Johnson,476,was,score: 185,Shadow Team GB,2
C.J. Cherryh (Goodreads Author),477,3.96,score: 184,Glass and Amber,3
C.J. Cherryh (Goodreads Author),478,4.22,score: 183,Alliance Space,3
Sharon Lee (Goodreads Author),478,4.52,score: 183,Pilots Choice,3
Anne McCaffrey,478,4.06,score: 183,Dragondrums,3
Jennifer L. Armentrout (Goodreads Author),478,4.42,score: 183,Origin,2
Marion Zimmer Bradley (Editor / Contributor),482,3.85,score: 182,Red Sun of Darkover,3
C.J. Cherryh (Goodreads Author),483,3.70,score: 181,Sunfall,3
Connie Willis,484,3.37,score: 180,Remake,4
Marianne de Pierres (Goodreads Author),484,3.98,score: 180,Transformation Space,2
Jeanne DuPrau,484,3.66,score: 180,The People of Sparks,2
Linnea Sinclair (Goodreads Author),487,3.93,score: 179,Rebels and Lovers,3
Marion Zimmer Bradley (Editor / Contributor),487,3.82,score: 179,Snows of Darkover,3
Margaret Peterson Haddix,487,3.98,score: 179,Found,2
Jenna Black (Goodreads Author),490,3.45,score: 178,Replica,2
Janet E. Morris (Goodreads Author),490,4.26,score: 178,The Golden Sword,2
Tananarive Due (Goodreads Author),492,3.92,score: 177,The Good House,2
Doris Egan,492,4.18,score: 177,The Complete Ivory,3
Clare Bell (Goodreads Author),492,4.04,score: 177,Ratha's Creature,2
Catherine Asaro (Goodreads Author),492,3.94,score: 177,The Moon's Shadow,2
Rachel Bach (Goodreads Author),492,3.98,score: 177,Honor's Knight,2
Rachel Bach (Goodreads Author),492,3.95,score: 177,Heaven's Queen,2
Ayn Rand,492,3.63,score: 177,Anthem,2
Diana Wynne Jones,499,3.87,score: 176,Enchanted Glass,2
C.E. Kilgore (Goodreads Author),499,3.67,score: 176,Ghost in the Machine,2
Leigh Brackett,501,3.73,score: 175,The Hounds of Skaith,2
Lauren Oliver (Goodreads Author),501,4.06,score: 175,Pandemonium,2
Marion Zimmer Bradley,501,3.79,score: 175,The Planet Savers & The Sword of Aldones,3
Anne McCaffrey,501,liked,score: 175,Damia,2
Kage Baker,505,3.88,score: 174,The Machine's Child,3
J.C. Cassels (Goodreads Author),506,3.96,score: 173,Sovran's Pawn,2
Jamie Grey (Goodreads Author),506,3.50,score: 173,The Star Thief,2
C.J. Cherryh (Goodreads Author),508,3.79,score: 172,Heavy Time,3
Susan Ee (Goodreads Author),508,4.10,score: 172,End of Days,2
Claudia Gray (Goodreads Author),508,3.92,score: 172,A Thousand Pieces of You,2
Martha Wells (Goodreads Author),511,3.70,score: 171,Razor's Edge,3
A.C. Crispin,511,3.85,score: 171,Starbridge,2
Angélica Gorodischer,513,3.97,score: 170,Kalpa Imperial: The Greatest Empire That Never Was,2
Joan D. Vinge,513,4.05,score: 170,The Summer Queen,3
Jaine Fenn (Goodreads Author),515,3.94,score: 168,Downside Girls,2
Greta van der Rol (Goodreads Author),515,3.77,score: 168,Starheart,2
Mary Gentle,515,3.64,score: 168,Ancient Light,2
Mary Gentle,515,3.73,score: 168,Golden Witchbreed,2
Marianne de Pierres (Goodreads Author),519,3.98,score: 167,Mirror Space,2
Mira Grant,519,3.85,score: 167,Feed,2
Joanna Russ,521,3.60,score: 166,The Two Of Them,2
L.A. Banks,521,3.99,score: 166,The Awakening,2
Pamela Sargent (Goodreads Author),521,3.58,score: 166,Venus of Dreams,2
Andre Norton,521,3.85,score: 166,Outside,2
Madeleine L'Engle,521,4.15,score: 166,A Ring of Endless Light,2
Karin Tidbeck (Goodreads Author),521,4.07,score: 166,Jagannath,2
Charlotte Perkins Gilman,527,3.50,score: 165,Herland,4
Ilona Andrews (Goodreads Author),528,3.89,score: 164,A Mere Formality,2
N.K. Jemisin (Goodreads Author),528,3.84,score: 164,The Hundred Thousand Kingdoms,2
Sarah A. Hoyt,530,3.59,score: 163,DarkShip Thieves,2
Vonda N. McIntyre,530,3.65,score: 163,Superluminal,3
Sharon Lynn Fisher (Goodreads Author),530,3.60,score: 163,Ghost Planet,3
Jean Lorrah,530,3.88,score: 163,The Vulcan Academy Murders,2
Marion Zimmer Bradley (Editor / Contributor),534,3.84,score: 162,Four Moons of Darkover,3
Lisa Mason (Goodreads Author),535,3.73,score: 161,Pangaea  Book I: Imperium Without End,2
Pippa Jay (Goodreads Author),535,3.70,score: 161,Keir,2
Andre Norton,535,3.83,score: 161,Key Out of Time,2
Veronica  Scott (Goodreads Author),538,3.96,score: 160,Wreck of the Nebula Dream,2
Elizabeth Hand,539,3.98,score: 159,Æstival Tide,2
Marion Zimmer Bradley,539,3.74,score: 159,The House Between the Worlds,2
Zenna Henderson,541,4.34,score: 157,Pilgrimage: The Book of the People,3
Pippa Jay (Goodreads Author),542,4.29,score: 156,The Bones of the Sea,2
Diana Wynne Jones,543,3.99,score: 154,Hexwood,2
Susan Kim,543,3.67,score: 154,Brain Camp,2
Rachel Caine (Goodreads Author),543,3.92,score: 154,Glass Houses,2
Misa Buckley (Goodreads Author),543,3.70,score: 154,Ironhaven,2
Wen Spencer (Goodreads Author),543,4.07,score: 154,Tinker,5
Madeleine L'Engle,548,3.99,score: 153,Many Waters,2
Pauline Baird Jones (Goodreads Author),549,3.82,score: 152,The Key,2
Linda Buckley-Archer (Goodreads Author),549,3.72,score: 152,The Time Travelers,2
Jessica E. Subject (Goodreads Author),551,3.82,score: 151,Celestial Seduction,2
Marianne de Pierres (Goodreads Author),552,3.51,score: 150,Nylon Angel,2
C.J. Cherryh (Goodreads Author),553,3.93,score: 149,Cloud's Rider,3
Ursula K. Le Guin,553,3.90,score: 149,The Telling,2
L. Timmel Duchamp,555,4.32,score: 148,Stretto,2
Anne McCaffrey,555,3.99,score: 148,Moreta: Dragonlady of Pern,4
Anna North (Goodreads Author),555,3.08,score: 148,America Pacifica,2
L. Timmel Duchamp,558,3.95,score: 145,Renegade,2
Susan R. Matthews,558,3.88,score: 145,An Exchange of Hostages,2
Joan D. Vinge,558,3.61,score: 145,Tangled Up in Blue,4
Ilona Andrews (Goodreads Author),558,4.34,score: 145,Burn for Me,2
Valerie J. Freireich,562,3.95,score: 144,Testament,2
Sarah Hall,562,3.39,score: 144,Daughters of the North,2
Catherynne M. Valente (Goodreads Author),562,4.12,score: 144,Silently and Very Fast,2
Ilona Andrews (Goodreads Author),562,4.35,score: 144,Magic Gifts,2
C.J. Barry,566,3.89,score: 143,Unraveled,2
Vonda N. McIntyre,567,3.60,score: 141,The Exile Waiting,3
James Tiptree Jr.,568,3.94,score: 140,The Girl Who Was Plugged In/Screwtop,3
Rosemary Kirstein,569,4.25,score: 139,The Lost Steersman,2
A.C. Crispin,569,3.49,score: 139,The Eyes of the Beholders,2
C.J. Cherryh (Goodreads Author),571,3.50,score: 138,Hestia,3
Julie E. Czerneda (Goodreads Author),571,4.08,score: 138,Migration,2
C.J. Cherryh (Goodreads Author),571,3.93,score: 138,Gate of Ivrel,4
Sheri S. Tepper,574,3.80,score: 137,The Visitor,2
Rosemary Kirstein,574,4.33,score: 137,The Language of Power,2
Caragh M. O'Brien (Goodreads Author),574,3.77,score: 137,Promised,2
Sarah A. Hoyt,574,3.76,score: 137,Darkship Renegades,2
Karen Thompson Walker (Goodreads Author),578,3.64,score: 136,The Age of Miracles,2
Moto Hagio,578,4.13,score: 136,A Drunken Dream and Other Stories,2
Gwyneth Jones,580,3.52,score: 135,"Spirit: or, The Princess of Bois Dormant",2
Caragh M. O'Brien (Goodreads Author),580,3.98,score: 135,Prized,2
Jane S. Fancher,582,3.72,score: 134,Uplink,2
Eleanor Arnason,582,3.80,score: 134,In the Light of Sigma Draconis,2
Gennifer Albin (Goodreads Author),582,3.68,score: 134,Altered,2
Eve Kenin,585,3.64,score: 133,Driven,3
Caragh M. O'Brien (Goodreads Author),585,3.89,score: 133,Birthmarked,2
Tananarive Due (Goodreads Author),587,4.18,score: 132,My Soul to Keep,2
Lisa Mason (Goodreads Author),587,3.57,score: 132,Arachne,2
Tanith Lee,587,3.75,score: 132,The Birthgrave,3
Suzanne Young (Goodreads Author),590,4.06,score: 131,The Program,2
Gennifer Albin (Goodreads Author),590,3.73,score: 131,Crewel,2
Sharon Shinn,592,3.30,score: 130,Jenna Starborn,2
Pat Cadigan (Goodreads Author),593,3.76,score: 129,Mindplayers,2
Pat Murphy (Goodreads Author),593,3.48,score: 129,Adventures in Time and Space with Max Merriwell,2
Aubrie Dionne (Goodreads Author),595,4.21,score: 127,Nebula's Music,2
T.K. Toppin (Goodreads Author),595,4.37,score: 127,The Lancaster Rule,2
Nancy Kress (Goodreads Author),595,3.47,score: 127,"After the Fall, Before the Fall, During the Fall",3
Pat Cadigan (Goodreads Author),598,3.71,score: 126,Fools,2
Wen Spencer (Goodreads Author),598,4.20,score: 126,Wolf Who Rules,4
Marianne de Pierres (Goodreads Author),600,3.35,score: 125,Dark Space,2
C.J. Cherryh (Goodreads Author),601,3.70,score: 123,Brothers of Earth,2
Jody Lynn Nye (Goodreads Author),601,3.77,score: 123,Taylor's Ark,2
Janet Kagan,603,4.42,score: 122,Hellspark,2
Emma Bull (Goodreads Author),604,3.82,score: 120,Falcon,2
Julie E. Czerneda (Goodreads Author),604,3.96,score: 120,Beholder's Eye,2
Linnea Sinclair (Goodreads Author),604,3.98,score: 120,Hope's Folly,2
C.J. Cherryh (Goodreads Author),607,3.81,score: 119,Hunter of Worlds,2
Sarah Crossan (Goodreads Author),607,3.70,score: 119,Breathe,2
Julia Karr (Goodreads Author),607,3.45,score: 119,XVI,2
Zenna Henderson,610,4.31,score: 118,The Anything Box,2
C.J. Cherryh (Goodreads Author),611,3.80,score: 117,Forge of Heaven,4
James Tiptree Jr.,611,3.97,score: 117,Up the Walls of the World,2
Storm Constantine (Goodreads Author),613,3.94,score: 116,Wraeththu,2
Marion Zimmer Bradley,614,3.83,score: 115,Hunters of the Red Moon,2
Madeline Ashby (Goodreads Author),615,3.43,score: 113,vN,2
James Tiptree Jr.,615,3.99,score: 113,Ten Thousand Light-Years From Home,2
Sandra McDonald,617,3.41,score: 112,The Stars Down Under,3
Elizabeth Bear (Goodreads Author),618,3.74,score: 111,Karen Memory,2
Brenda Cooper (Goodreads Author),619,3.01,score: 109,The Creative Fire,2
Karin Lowachee (Goodreads Author),619,3.92,score: 109,Burndive,2
Anne McCaffrey,621,liked,score: 107,Crystal Line,2
Karin Lowachee (Goodreads Author),622,4.01,score: 106,Cagebird,2
Gwyneth Jones,623,3.37,score: 105,North Wind,2
Jaine Fenn (Goodreads Author),623,3.50,score: 105,Principles of Angels,2
Cathy Pegau (Goodreads Author),625,3.51,score: 104,Caught in Amber,2
Diane Dooley (Goodreads Author),626,2.95,score: 103,Blue Galaxy,2
Jessica E. Subject (Goodreads Author),626,3.65,score: 103,Made for Her,2
Marlys Millhiser,628,4.04,score: 102,The Mirror,2
Leigh Brackett,629,3.75,score: 100,The Ginger Star,1
Christine Amsden (Goodreads Author),629,3.69,score: 100,The Immortality Virus,1
Belinda McBride (Goodreads Author),629,3.63,score: 100,An Uncommon Whore,1
Lisa Eskra (Goodreads Author),629,4.07,score: 100,Astra: The Harrowing,1
Ruth Willerth,629,4.14,score: 100,A Matter of Honor,2
Lissa Bilyk (Goodreads Author),629,3.63,score: 100,The Edge of Darkness,1
Gretchen Hummel (Goodreads Author),629,4.25,score: 100,Dreamer's Island,1
Jess Anastasi (Goodreads Author),629,was,score: 100,Singularity,1
Sharon Delarose (Goodreads Author),629,liked,score: 100,The Cantor Dimension,1
Susan  Cartwright (Goodreads Author),629,3.61,score: 100,Wolf Dawn,1
Caron Cro (Goodreads Author),629,4.16,score: 100,"Tierra del Fuego, Colony Ship; Parting Shots",1
Barbara Rayne (Goodreads Author),629,3.29,score: 100,21 Erased,1
Anna LaForge (Goodreads Author),629,3.83,score: 100,The Marcella Fragment,1
Tamara Jock,629,4.75,score: 100,The Willow and the Stone,1
Monica La Porta (Goodreads Author),629,3.72,score: 100,The Priest,1
Phyllis Gotlieb,629,3.56,score: 100,Sunburst,1
Christine  Brown (Goodreads Author),629,3.77,score: 100,Blood and Matzah,1
Tonya Cannariato (Goodreads Author),629,4.11,score: 100,Dementional,1
Catherine Helen Spence,629,3.54,score: 100,A week in the future : Catherine Helen Spence's 1888 forecast of life in 1988,1
Nancy J. Price (Goodreads Author),629,3.86,score: 100,Dream of Time,1
S.J. Hollis (Goodreads Author),629,4.08,score: 100,Bounty Hunter,1
C.C. Alma (Goodreads Author),629,3.89,score: 100,The Earth Girl and Queen Eliza,1
Gina DeMarco (Goodreads Author),629,3.87,score: 100,The Neanderthal's Aunt,1
Kaye Wagner (Goodreads Author),629,3.25,score: 100,Legendary Detective at the World's End,1
J.S. Blackman,629,4.38,score: 100,Time Travels: The First Adventures,1
Autumn Kalquist (Goodreads Author),629,3.39,score: 100,Legacy Code,1
Kari Aguila (Goodreads Author),629,3.69,score: 100,Women's Work,1
Anna  Hammond (Goodreads Author),629,3.80,score: 100,Fomatsu,1
Michelle O'Leary (Goodreads Author),629,3.94,score: 100,The Third Sign,1
Justina Robson (Goodreads Author),629,3.61,score: 100,Natural History,1
Rae Lori (Goodreads Author),629,liked,score: 100,Cimmerian City,1
Jamie Le Fay (Goodreads Author),629,3.70,score: 100,Ange'el,1
Clare O'Beara (Goodreads Author),629,4.28,score: 100,Dining Out Around the Solar System,1
Renee N. Meland (Goodreads Author),629,4.07,score: 100,The Extraction List,1
Annabel Smith (Goodreads Author),629,4.03,score: 100,The Ark,1
Tracie Molton (Goodreads Author),629,3.29,score: 100,Genetically Altered,1
Cherise Kelley (Goodreads Author),629,3.59,score: 100,Dog Aliens 1: Raffle's Name,1
Jeno Marz (Goodreads Author),629,4.19,score: 100,Falaha's Journey: A Spacegirl's Account in Three Movements,1
K.N. Lee (Goodreads Author),629,4.31,score: 100,Dark Prophet,1
Molly Tabachnikov,629,3.75,score: 100,Lessons in Space,1
Robin Glassey (Goodreads Author),629,4.65,score: 100,The Least of Elves,1
Charlotte McGary (Goodreads Author),629,4.50,score: 100,The Dream Crystals of Gandara,1
Ronel van Tonder (Goodreads Author),629,4.26,score: 100,Compile: Quest,1
Quoleena Sbrocca (Goodreads Author),629,3.80,score: 100,The Crossing Hour,1
Allyson Lindt (Goodreads Author),629,liked,score: 100,Return to Emerald City,1
Stephanie Saulter (Goodreads Author),629,3.80,score: 100,Gemsigns,1
Dorothy Gravelle (Goodreads Author),629,3.73,score: 100,Where the Deer Dwell,1
Nix Whittaker (Goodreads Author),629,4.18,score: 100,Hero is a Man,1
C.S. Royce (Goodreads Author),629,4.67,score: 100,Transmutation of Noah,1
Kristin Cast (Goodreads Author),629,3.39,score: 100,Amber Smoke,1
Britt DeLaney (Goodreads Author),629,4.20,score: 100,Captured By The Hunter,1
M.J. Moores (Goodreads Author),629,4.56,score: 100,Time's Tempest,1
Cary Neeper (Goodreads Author),629,liked,score: 100,The Webs of Varok,1
H.B. Clementine,629,3.13,score: 100,Nothing But Your Memories,1
Hywela Lyn (Goodreads Author),629,4.43,score: 100,Starquest,1
Holly Cave (Goodreads Author),629,3.69,score: 100,The Generation,1
Elizabeth C. Robinson (Goodreads Author),629,was,score: 100,Talismen: Birthstones,1
Stephanie Ricker (Goodreads Author),629,4.08,score: 100,The Battle of Castle Nebula,1
S.B.K. Burns (Goodreads Author),629,3.29,score: 100,A Far Far Better Thing,1
Michelle Medhat (Goodreads Author),629,3.76,score: 100,Connected: The Call,1
J.D. Brewer (Goodreads Author),629,4.18,score: 100,Vagabond,1
D.L. Orton (Goodreads Author),629,4.10,score: 100,Crossing in Time,1
Peyton Reynolds (Goodreads Author),629,4.06,score: 100,Auguries of Dawn,1
Aeyess (Goodreads Author),629,4.56,score: 100,The Adventures of Armstrong Dent: The Complete First Season,1
Ann Christy (Goodreads Author),629,3.91,score: 100,The In-Betweener,1
Christy  Newman (Goodreads Author),629,4.37,score: 100,Talwan's Vengeance,1
N.M. Sotzek (Goodreads Author),629,4.25,score: 100,Revealing the Revolution,1
Christina Grant (Goodreads Author),629,4.67,score: 100,Being Human,1
Jessica Frances (Goodreads Author),629,3.82,score: 100,Earth,1
