Author,Rank,Rating,Score,Title,Votes
Ursula K. Le Guin,1030,4.21,score: 86,Three Hainish Novels,1
Shanna Lauffey,1030,4.43,score: 86,Plausible Deniability,1
L. Timmel Duchamp,1041,3.94,score: 85,Tsunami,1
Thea Beckman,1041,4.17,score: 85,Het Helse Paradijs,1
Lisa Mason (Goodreads Author),1041,3.92,score: 85,Summer of Love,1
Holly-Jane Rahlens (Goodreads Author),1041,4.01,score: 85,"Everlasting: Der Mann, der aus der Zeit fiel",1
Elizabeth Haydon,1041,4.12,score: 85,Prophecy: Child of Earth,1
Andre Norton,1041,3.71,score: 85,Android at Arms,1
Jeanne-A Debats,1041,4.10,score: 85,La Ballade de Trash,1
Tahereh Mafi,1041,3.98,score: 85,Shatter Me,1
Susan Grant (Goodreads Author),1041,3.92,score: 85,The Star Prince,1
Martha Wells (Goodreads Author),1041,4.28,score: 85,Rogue Protocol,1
Diana Wynne Jones,1041,3.90,score: 85,The Homeward Bounders,1
Shanna Lauffey,1041,liked,score: 85,The Time Shifters Chronicles volume 1: Episodes One through Five of the Chronicles of the Harekaiian,1
Patty Jansen (Goodreads Author),1053,3.41,score: 84,Watcher's Web,1
Thea Beckman,1053,4.19,score: 84,Het Gulden Vlies van Thule,1
Aubrie Dionne (Goodreads Author),1053,4.42,score: 84,Haven 6,1
Aliette de Bodard (Goodreads Author),1053,3.83,score: 84,"On a Red Station, Drifting",1
Monica Hughes,1053,3.85,score: 84,The Keeper of the Isis Light,1
Elizabeth Haydon,1053,3.95,score: 84,Rhapsody: Child of Blood,1
Diane Carey,1053,3.75,score: 84,Battlestations!,1
Michelle O'Leary (Goodreads Author),1053,3.79,score: 84,The Huntress,1
Danielle Martinigol,1053,4.25,score: 84,Les Abîmes d'Autremer,1
Susan Grant (Goodreads Author),1053,3.75,score: 84,The Star King,1
Martha Wells (Goodreads Author),1053,4.41,score: 84,Exit Strategy,1
L. Timmel Duchamp,1064,4.17,score: 83,Blood in the Fruit,1
Tanith Lee,1064,3.72,score: 83,Day by Night,1
Patty Jansen (Goodreads Author),1064,3.74,score: 83,His Name In Lights,1
Liana Brooks (Goodreads Author),1064,4.32,score: 83,Fey Lights,1
Jill Shultz (Goodreads Author),1064,3.69,score: 83,Angel on the Ropes,1
Fumi Yoshinaga,1064,3.93,score: 83,"Ōoku: The Inner Chambers, Volume 1",1
Andre Norton,1064,4.14,score: 83,The Solar Queen,1
Danielle Martinigol,1064,4.18,score: 83,L'envol de l'abîme,1
Susan Grant (Goodreads Author),1064,3.78,score: 83,My Favorite Earthling,1
Kage Baker,1073,3.97,score: 82,Mother Aegypt and Other Stories,2
Gwyneth Jones,1073,3.73,score: 82,Phoenix Café,1
Patty Jansen (Goodreads Author),1073,4.31,score: 82,This Peaceful State of War,1
Jessica E. Subject (Goodreads Author),1073,3.89,score: 82,Beneath the Starry Sky,2
Gini Koch (Goodreads Author),1073,3.68,score: 82,Touched by an Alien,1
Marion Zimmer Bradley,1073,3.83,score: 82,Rediscovery,1
Danielle Martinigol,1073,4.19,score: 82,L'appel des abîmes,1
Ann Leckie (Goodreads Author),1073,3.82,score: 82,Provenance,1
Sharon Shinn,1081,3.53,score: 81,Wrapt in Crystal,1
Patty Jansen (Goodreads Author),1081,3.93,score: 81,The Far Horizon,1
Rebecca Stead,1081,4.09,score: 81,When You Reach Me,1
Storm Constantine (Goodreads Author),1081,4.28,score: 81,The Fulfilments of Fate and Desire,1
Debra Driza (Goodreads Author),1081,3.69,score: 81,MILA 2.0,1
Susan Grant (Goodreads Author),1081,3.54,score: 81,Your Planet or Mine?,1
N.K. Jemisin (Goodreads Author),1081,3.95,score: 81,The Kingdom of Gods,1
Cecelia Holland,1088,3.53,score: 80,Floating Worlds,1
Patty Jansen (Goodreads Author),1088,4.04,score: 80,Charlotte's Army,1
Maureen F. McHugh,1088,3.65,score: 80,Nekropolis,1
Barbara Hambly (Goodreads Author),1088,3.95,score: 80,The Silicon Mage,2
Jean Hegland (Goodreads Author),1088,3.69,score: 80,Windfalls,1
Melisse Aires (Goodreads Author),1088,3.58,score: 80,Refugees on Urloon,1
Vivian Vande Velde,1088,4.10,score: 80,Heir Apparent,1
Storm Constantine (Goodreads Author),1088,4.23,score: 80,The Bewitchments of Love and Hate,1
Tenea D. Johnson (Goodreads Author),1088,3.65,score: 80,Smoketown,1
Nalini Singh (Goodreads Author),1088,4.09,score: 80,Night Shift,1
Ada Palmer (Goodreads Author),1088,4.19,score: 80,Seven Surrenders,1
C.J. Cherryh (Goodreads Author),1099,4.08,score: 79,The Deep Beyond: Cuckoo's Egg / Serpent's Reach,1
Valerie J. Freireich,1099,3.87,score: 79,Imposter,1
Karen A. Wyle (Goodreads Author),1099,3.65,score: 79,Twin-Bred,1
Patty Jansen (Goodreads Author),1099,4.22,score: 79,Luminescence,1
Amy Joy (Goodreads Author),1099,3.59,score: 79,The Academie,1
Jeanette Grey (Goodreads Author),1099,4.03,score: 79,Unacceptable Risk,1
Rhiannon Lassiter,1099,4.06,score: 79,Void,1
Storm Constantine (Goodreads Author),1099,3.88,score: 79,The Enchantments of Flesh and Spirit,1
J.K. Accinni,1099,3.84,score: 79,Alien Species Intervention,79
Charles Tan (Editor),1099,4.12,score: 79,Lauriat: A Filipino-Chinese Speculative Fiction Anthology,1
Charlaine Harris (Goodreads Author) (Editor),1099,3.87,score: 79,An Apple for the Creature,1
Vonda N. McIntyre,1099,3.60,score: 79,The Starfarers Quartet,1
Susan Grant (Goodreads Author),1099,3.69,score: 79,The Warlord's Daughter,1
Suzy McKee Charnas (Goodreads Author),1112,3.59,score: 78,Motherlines,2
Valerie J. Freireich,1112,4.12,score: 78,Becoming Human,1
Barbara Hambly (Goodreads Author),1112,3.93,score: 78,The Silent Tower,2
Jennifer Pelland,1112,3.80,score: 78,Machine,1
R.J. Anderson (Goodreads Author),1112,3.77,score: 78,Ultraviolet,1
Liz Jensen,1112,3.31,score: 78,The Rapture,1
Jane Yolen (Goodreads Author),1118,liked,score: 77,Dragon's Blood,1
"Peter Haining (Editor, Introduction)",1118,3.97,score: 77,The Fantastic Pulps,1
Jeaniene Frost (Goodreads Author),1118,4.15,score: 77,Magic Graves,1
Susan Grant (Goodreads Author),1118,3.90,score: 77,The Scarlet Empress,1
Karen Traviss (Goodreads Author),1118,3.90,score: 77,Judge,1
Gemma Malley,1123,3.75,score: 76,The Resistance,1
Karen A. Wyle (Goodreads Author),1123,4.29,score: 76,Reach,1
Heidi Ruby Miller,1123,3.71,score: 76,Greenshift,1
Sharon Lee (Goodreads Author),1123,4.25,score: 76,Ghost Ship,3
Andrea L. Bell (Editor),1123,3.92,score: 76,Cosmos Latinos: An Anthology of Science Fiction from Latin America and Spain,1
Elizabeth Hand,1123,3.79,score: 76,Icarus Descending,1
Ilona Andrews (Goodreads Author),1123,4.27,score: 76,Magic Dreams,1
Susan Grant (Goodreads Author),1123,3.78,score: 76,Once a Pirate,1
Karen Traviss (Goodreads Author),1123,3.89,score: 76,Matriarch,1
Marcella Burnard (Goodreads Author),1132,3.65,score: 75,Enemy Within,1
Sandra McDonald,1132,3.59,score: 75,The Stars Blue Yonder,3
Karen A. Wyle (Goodreads Author),1132,4.38,score: 75,Division,1
Aubrie Dionne (Goodreads Author),1132,3.71,score: 75,Paradise 21,1
Stella Carr,1132,3.80,score: 75,Sambaqui: A Novel of Pre-History,1
Lauren Beukes (Goodreads Author),1132,3.64,score: 75,Zoo City,2
Parinoush Saniee,1132,4.22,score: 75,Shiawase no Zanzou,1
Karen Traviss (Goodreads Author),1132,3.90,score: 75,Ally,1
Eleanor Arnason,1140,3.08,score: 74,Daughter of the Bear King,1
Jane Jensen,1140,3.70,score: 74,Dante's Equation,1
Heidi Ruby Miller,1140,3.96,score: 74,Marked by Light,1
Suzanne Weyn,1140,3.55,score: 74,The Bar Code Tattoo,1
Karyn Langhorne Folan (Goodreads Author),1140,4.03,score: 74,Liam's Promise,1
Julie E. Czerneda (Goodreads Author),1140,3.97,score: 74,In the Company of Others,1
Patti   Davis (Goodreads Author),1140,3.57,score: 74,A House of Secrets,1
Anne McCaffrey,1140,3.92,score: 74,Freedom's Choice,1
Karen Traviss (Goodreads Author),1140,3.95,score: 74,The World Before,1
Petronela Ungureanu (Goodreads Author),1149,3.91,score: 73,Lost in the Seven Worlds,1
Melissa Scott (Goodreads Author),1149,3.66,score: 73,The Kindly Ones,2
Melissa Scott (Goodreads Author),1149,3.66,score: 73,Dreamships,2
Patricia Kennealy-Morrison,1149,4.02,score: 73,The Copper Crown,1
Andre Norton,1149,3.93,score: 73,Lord Of Thunder,1
Anne McCaffrey,1149,3.94,score: 73,Freedom's Challenge,1
Karen Traviss (Goodreads Author),1149,4.02,score: 73,Crossing the Line,1
Susan Beth Pfeffer,1149,3.89,score: 73,Life As We Knew It,1
Lisa Mason (Goodreads Author),1157,3.82,score: 72,Pangaea  Book II: Imperium Afire,1
Cathy Pegau (Goodreads Author),1157,3.77,score: 72,Rulebreaker,1
Marion Zimmer Bradley,1157,3.76,score: 72,The Planet Savers,1
Andre Norton,1157,3.72,score: 72,Star Ka'at,1
S.D. Crockett,1157,3.17,score: 72,After the Snow,2
Anne McCaffrey,1157,3.94,score: 72,Freedom's Ransom,1
Andre Norton,1163,3.80,score: 71,Flight in Yiktor,1
C.J. Cherryh (Goodreads Author),1163,3.84,score: 71,Angel with the Sword,2
Kate Thompson,1163,3.63,score: 71,Fourth World,1
Rochelle Weber (Goodreads Author),1163,3.32,score: 71,Rock Crazy,1
Mariano Villarreal,1163,3.79,score: 71,Terra Nova: An Anthology of Contemporary Spanish Science Fiction,1
Andre Norton,1168,3.95,score: 70,The Jargoon Pard,1
Tanith Lee,1168,3.38,score: 70,Eva Fairdeath,1
Joanna Russ,1168,3.58,score: 70,We Who Are About To...,2
Vonda N. McIntyre,1168,3.55,score: 70,Starfarers,2
Jaine Fenn (Goodreads Author),1168,3.91,score: 70,Guardians of Paradise,1
Alison Goodman (Goodreads Author),1168,3.68,score: 70,Singing the Dogstar Blues,1
Erin Kellison (Goodreads Author),1168,4.23,score: 70,Hotter on the Edge 2,1
A.R. Norris (Goodreads Author),1175,3.67,score: 69,Echoes of Regret,1
Vonda N. McIntyre,1175,3.71,score: 69,Transition,2
Jaine Fenn (Goodreads Author),1175,3.99,score: 69,Bringer Of Light,1
Anne McCaffrey,1175,3.92,score: 69,Nimisha's Ship,1
K.A. Applegate,1175,3.87,score: 69,The Change,1
Marion Zimmer Bradley,1180,3.95,score: 68,To Save a World,1
Diane Dooley (Goodreads Author),1180,liked,score: 68,Mako's Bounty,1
Martha Wells (Goodreads Author),1180,3.91,score: 68,Reliquary,1
C.J. Cherryh (Goodreads Author),1180,4.05,score: 68,Fires of Azeroth,2
C.J. Cherryh (Goodreads Author),1180,3.93,score: 68,Well of Shiuan,2
K.A. Applegate,1180,3.83,score: 68,The Threat,1
Syne Mitchell,1180,3.94,score: 68,Technogenesis,1
Pauline Baird Jones (Goodreads Author),1187,4.13,score: 67,Kicking Ashe,1
Martha Wells (Goodreads Author),1187,3.89,score: 67,Entanglement,1
Marion Zimmer Bradley,1187,3.97,score: 67,Darkover: First Contact,2
Sophie McKenzie (Goodreads Author),1187,4.15,score: 67,Hunted,1
K.A. Applegate,1187,3.78,score: 67,The Discovery,1
Kim Knox (Goodreads Author),1192,4.13,score: 66,Painted Promise,1
Vonda N. McIntyre,1192,3.75,score: 66,Metaphase,2
Ally Blue (Goodreads Author),1192,3.34,score: 66,Hell's End,1
Liz Jensen,1192,3.87,score: 66,Ark Baby,1
K.A. Applegate,1192,3.92,score: 66,The Solution,1
Phoebe North (Goodreads Author),1192,3.62,score: 66,Starglass,1
Louise O'Neill (Goodreads Author),1192,3.78,score: 66,Only Ever Yours,1
Marion Zimmer Bradley,1199,3.54,score: 65,Survey Ship,1
Sunny Moraine (Goodreads Author),1199,3.85,score: 65,Line and Orbit,1
K.A. Applegate,1199,3.70,score: 65,The Underground,1
C.L. Moore,1199,3.18,score: 65,Earth's Last Citadel,1
Jennie Melamed (Goodreads Author),1199,3.63,score: 65,Gather the Daughters,1
Jodi Taylor (Goodreads Author),1199,4.14,score: 65,A Symphony of Echoes,1
Mina Carter (Goodreads Author),1205,3.82,score: 64,Solar Storm,1
Ann Halam,1205,3.92,score: 64,Dr. Franklin's Island,1
K.A. Applegate,1205,3.73,score: 64,The Warning,1
Jodi Taylor (Goodreads Author),1205,3.89,score: 64,Just One Damned Thing After Another,1
Stacey Klemstein (Goodreads Author),1209,3.91,score: 63,The Silver Spoon,1
Patrick Califia-Rice,1209,3.73,score: 63,Doc and Fluff: The Dystopian Tale of a Girl and Her Biker,1
Jaine Fenn (Goodreads Author),1209,3.86,score: 63,Consorts of Heaven,1
Beth Ciotta (Goodreads Author),1209,3.70,score: 63,His Clockwork Canary,1
Eleanor Arnason,1209,4.04,score: 63,Changing Women,1
Megan Crewe (Goodreads Author),1209,3.84,score: 63,The Clouded Sky,1
K.A. Applegate,1209,3.78,score: 63,The Decision,1
Neve Maslakovic (Goodreads Author),1209,3.48,score: 63,The Far Time Incident,1
Mary Robinette Kowal (Goodreads Author),1209,3.59,score: 63,Forest of Memory,1
Erika Johansen (Goodreads Author),1209,4.12,score: 63,The Invasion of the Tearling,1
Kim Knox (Goodreads Author),1219,3.38,score: 62,7% and Rising,1
Caragh M. O'Brien (Goodreads Author),1219,3.83,score: 62,Tortured,1
Eileen Gormley (Goodreads Author),1219,3.70,score: 62,Don't Feed the Fairies,1
Judith Merril,1219,3.54,score: 62,Shadow on the Hearth,1
Megan Crewe (Goodreads Author),1219,3.85,score: 62,Those Who Lived,1
K.A. Applegate,1219,3.85,score: 62,The Departure,1
Jessica Khoury (Goodreads Author),1219,3.89,score: 62,Origin,1
Jo Walton (Goodreads Author),1219,3.78,score: 62,The Just City,1
C.J. Barry,1227,3.86,score: 61,Unmasked,1
Megan Crewe (Goodreads Author),1227,3.46,score: 61,Earth & Sky,1
K.A. Applegate,1227,3.72,score: 61,The Forgotten,1
Tara K. Harper,1227,3.77,score: 61,Lightwing,1
Megan Crewe (Goodreads Author),1231,3.81,score: 60,The Worlds We Make,1
Jennifer Marie Brissett (Goodreads Author),1231,3.58,score: 60,Elysium,1
K.A. Applegate,1231,3.78,score: 60,The Escape,1
Maureen F. McHugh,1234,3.38,score: 59,Half the Day is Night,2
Clare O'Beara (Goodreads Author),1234,4.53,score: 59,Dining Out with the Ice Giants,1
John Joseph Adams (Goodreads Author) (Editor),1234,4.05,score: 59,Brave New Worlds,1
Megan Crewe (Goodreads Author),1234,3.86,score: 59,The Lives We Lost,1
K.A. Applegate,1234,3.63,score: 59,The Unknown,1
Colby Hodge,1239,3.57,score: 58,Star Shadows,1
P.I. Barrington (Goodreads Author),1239,4.30,score: 58,The Brede Chronicles,1
Nick Gevers (Editor),1239,3.57,score: 58,Extraordinary Engines: The Definitive Steampunk Anthology,1
Megan Crewe (Goodreads Author),1239,3.69,score: 58,The Way We Fall,1
K.A. Applegate,1239,4.07,score: 58,Visser,1
Janet E. Morris (Goodreads Author),1239,3.93,score: 58,Earth Dreams,1
Beth Revis (Goodreads Author),1245,3.72,score: 57,The Body Electric,1
K.A. Applegate,1245,3.69,score: 57,The Secret,1
Clare O'Beara (Goodreads Author),1245,4.45,score: 57,Dining Out with the Gas Giants,1
Alice Hoffman (Goodreads Author),1248,3.98,score: 56,Green Heart,1
Ivor W. Hartmann (Goodreads Author) (Editor),1248,3.87,score: 56,AfroSF: Science Fiction by African Writers,1
Beth Revis (Goodreads Author),1248,3.80,score: 56,As They Slip Away,1
K.A. Applegate,1248,3.72,score: 56,The Reaction,1
Jodi Redford (Goodreads Author),1252,3.79,score: 55,Taking Liberty,1
Beth Revis (Goodreads Author),1252,4.09,score: 55,Shades of Earth,1
K.A. Applegate,1252,3.76,score: 55,The Android,1
Marilynn Byerly,1255,liked,score: 54,Star-Crossed,1
Linda Pohring (Goodreads Author),1255,3.35,score: 54,Oddily,1
Katherine Anne MacLean,1255,3.29,score: 54,The Diploids and Other Flights of Fancy,1
Beth Revis (Goodreads Author),1255,4.02,score: 54,A Million Suns,1
K.A. Applegate,1255,3.81,score: 54,The Predator,1
Elizabeth Bear (Goodreads Author),1260,3.50,score: 53,Undertow,1
Megan McCafferty (Goodreads Author),1260,3.12,score: 53,Bumped,1
K.A. Applegate,1260,3.87,score: 53,The Capture,1
Jacqueline Lichtenberg (Goodreads Author),1263,3.81,score: 52,Dushau,1
Katherine Allred,1263,3.66,score: 52,Close Encounters,2
Nora Olsen (Goodreads Author),1263,2.81,score: 52,Swans and Klons,1
Andre Norton,1263,3.90,score: 52,The Stars Are Ours,1
K.A. Applegate,1263,3.80,score: 52,The Stranger,1
Margaret Belle (Goodreads Author),1268,3.24,score: 51,The Procedure,1
Caroline B. Cooney,1268,3.88,score: 51,Out of Time,1
K.A. Applegate,1268,3.87,score: 51,The Alien,1
Kim Flowers (Goodreads Author),1271,liked,score: 50,The Divide Book 1: Uprising,1
Naomi Mitchison,1271,3.62,score: 50,Memoirs of a Spacewoman,1
Caroline B. Cooney,1271,3.64,score: 50,Code Orange,1
K.A. Applegate,1271,3.84,score: 50,The Message,1
Lois McMaster Bujold (Goodreads Author),1271,4.43,score: 50,"Miles, Mutants, and Microbes",1
Elysa Hendricks (Goodreads Author),1276,3.18,score: 49,Star Crash,1
Lynn Abbey (Goodreads Author),1276,3.65,score: 49,Jerlayne,1
Joan Slonczewski (Goodreads Author),1276,3.93,score: 49,Daughter of Elysium,1
Katharine Burdekin,1276,3.64,score: 49,Swastika Night,2
Caroline B. Cooney,1276,3.91,score: 49,For All Time,1
K.A. Applegate,1276,3.83,score: 49,The Encounter,1
Helen S. Wright,1276,3.78,score: 49,A Matter of Oaths,1
Malinda Lo (Goodreads Author),1283,3.63,score: 48,Adaptation,1
Caroline B. Cooney,1283,3.81,score: 48,Prisoner of Time,1
K.A. Applegate,1283,3.80,score: 48,The Visitor,1
Lois McMaster Bujold (Goodreads Author),1283,4.44,score: 48,Miles Errant,1
Caroline B. Cooney,1287,3.92,score: 47,Both Sides of Time,1
K.A. Applegate,1287,3.80,score: 47,The Invasion,1
Joanna Russ,1287,3.81,score: 47,Extra,1
Bella Street (Goodreads Author),1290,4.36,score: 46,Apocalypse For Realz,1
C.J. Cherryh (Goodreads Author),1290,4.07,score: 46,Kutath,1
Julie Kagawa (Goodreads Author),1290,4.24,score: 46,The Eternity Cure,1
Lois McMaster Bujold (Goodreads Author),1290,4.15,score: 46,Labyrinth,1
Bella Street (Goodreads Author),1294,4.18,score: 45,Bite Me,1
Juli Zeh,1294,3.56,score: 45,The Method,1
Julie Kagawa (Goodreads Author),1294,3.79,score: 45,'Til the World Ends,1
Bella Street (Goodreads Author),1297,4.12,score: 44,The X Factor,1
Julie Kagawa (Goodreads Author),1297,4.18,score: 44,The Forever Song,1
Robert Silverberg (Editor),1297,3.70,score: 44,The Crystal Ship: Three Original Novellas of Science Fiction,1
Elizabeth Moon,1297,4.17,score: 44,Divided Allegiance,2
Bella Street (Goodreads Author),1301,4.23,score: 43,iRobotronic,1
Ursula K. Le Guin,1301,3.72,score: 43,The Eye of the Heron,1
Julie Kagawa (Goodreads Author),1301,3.97,score: 43,Dawn of Eden,1
Nina Croft (Goodreads Author),1304,3.62,score: 42,Break Out,1
Sharon Lee (Goodreads Author),1304,4.44,score: 42,The Agent Gambit,3
Grace L. Dillon (Editor),1304,3.73,score: 42,Walking the Clouds: An Anthology of Indigenous Science Fiction,1
Julie Kagawa (Goodreads Author),1304,4.09,score: 42,The Immortal Rules,1
Bella Street (Goodreads Author),1308,4.30,score: 41,Kumbaya Much,1
Vonda N. McIntyre,1308,3.49,score: 41,Barbary,1
Rakesh Khanna (Editor),1308,3.53,score: 41,"The Blaft Anthology of Tamil Pulp Fiction, Vol. I",1
Gennifer Albin (Goodreads Author),1308,3.55,score: 41,Unraveled,1
Joan D. Vinge,1308,4.12,score: 41,Catspaw,1
A.R. Norris (Goodreads Author),1313,3.67,score: 40,Revelations of Tomorrow,1
Maureen F. McHugh,1313,3.70,score: 40,Mission Child,1
Monica Byrne (Goodreads Author),1313,3.50,score: 40,The Girl in the Road,1
Jenna McCormick (Goodreads Author),1316,3.56,score: 39,Born,1
Gennifer Albin (Goodreads Author),1316,3.34,score: 39,The Department of Alterations,1
Tess  Williams,1318,it,score: 38,Sea As Mirror,1
Bella Street (Goodreads Author),1318,3.22,score: 38,The Z Word,1
Leigh Kennedy,1318,3.93,score: 38,The Journal Of Nicholas The American,1
Tess  Williams,1321,3.50,score: 37,Map of Power,1
C.J. Barry,1321,3.68,score: 37,Body Master,1
Lauren Beukes (Goodreads Author),1321,3.62,score: 37,Moxyland,1
Emmy Laybourne (Goodreads Author),1321,3.72,score: 37,What Mario Scietto Says,1
Joan D. Vinge,1321,3.88,score: 37,Dreamfall,1
P.J. Schnyder (Goodreads Author),1326,3.58,score: 36,Hunting Kat,1
Emmy Laybourne (Goodreads Author),1326,3.31,score: 36,Jake and the Other Girl,1
Frances Pauli (Goodreads Author),1328,was,score: 35,Friend or Foe,1
Lois McMaster Bujold (Goodreads Author),1328,3.79,score: 35,Dreamweaver's Dilemma,2
Emmy Laybourne (Goodreads Author),1328,4.07,score: 35,Savage Drift,1
Kim Knox (Goodreads Author),1331,3.21,score: 34,Gambit,1
Lisa Goldstein,1331,3.80,score: 34,The Dream Years,1
Emmy Laybourne (Goodreads Author),1331,3.64,score: 34,Dress Your Marines in White,1
Ella Drake (Goodreads Author),1334,3.43,score: 33,Jaq's Harp,1
Emmy Laybourne (Goodreads Author),1334,4.06,score: 33,Sky on Fire,1
Lisa Paitz Spindler (Goodreads Author),1336,3.42,score: 32,The Spiral Path,1
Sheila Keenan,1336,3.96,score: 32,Dogs of War,1
Emmy Laybourne (Goodreads Author),1336,3.90,score: 32,Monument 14,1
Julie E. Czerneda (Goodreads Author),1336,4.16,score: 32,Hidden in Sight,1
Julie E. Czerneda (Goodreads Author),1340,4.09,score: 31,Changing Vision,1
C.J. Cherryh (Goodreads Author),1341,3.52,score: 30,Port Eternity,1
Julie E. Czerneda (Goodreads Author),1341,4.02,score: 30,To Trade the Stars,1
Julie E. Czerneda (Goodreads Author),1343,3.95,score: 29,Ties of Power,1
L.K. Rigel (Goodreads Author),1344,3.18,score: 28,Space Junque,1
Anne McCaffrey,1345,3.82,score: 26,The Death of Sleep,2
Kim Knox (Goodreads Author),1346,3.48,score: 25,Breaking Chance,1
C.J. Cherryh (Goodreads Author),1346,4.06,score: 25,Shon'jir,1
Jean Johnson (Goodreads Author),1346,4.16,score: 25,Hardship,1
C.S. Friedman,1346,3.64,score: 25,The Wilding,1
Gayle Ann Williams (Goodreads Author),1350,3.77,score: 24,Tsunami Blue,1
C.J. Cherryh (Goodreads Author),1350,3.87,score: 24,Hellburner,1
C.J. Cherryh (Goodreads Author),1350,4.30,score: 24,Protector,1
Justina Robson (Goodreads Author),1353,3.47,score: 23,Keeping It Real,1
Sylvia Engdahl (Goodreads Author),1353,4.05,score: 23,Promise of the Flame,1
C.J. Cherryh (Goodreads Author),1355,4.08,score: 22,Exile's Gate,1
Leigh Brackett,1356,3.64,score: 21,The Long Tomorrow,1
Annabelle Blume (Goodreads Author),1357,3.97,score: 20,Frozen Heart,1
C.J. Cherryh (Goodreads Author),1357,3.98,score: 20,Kesrith,1
Brenda Cooper (Goodreads Author),1357,3.57,score: 20,The Diamond Deep,1
Kim Knox (Goodreads Author),1360,3.73,score: 19,Dark Host,1
Tanya Huff,1361,4.05,score: 18,The Better Part of Valor,1
Tanya Huff,1362,4.10,score: 17,Valor's Trial,1
Jacqueline Patricks (Goodreads Author),1363,3.82,score: 16,Dreams of the Queen,1
Marie Sexton (Goodreads Author),1363,3.71,score: 16,Blind Space,1
Jordan Castillo Price (Goodreads Author),1365,liked,score: 15,Among the Living,1
Heather Massey (Goodreads Author),1366,3.15,score: 14,Queenie's Brigade,1
Jean Johnson (Goodreads Author),1366,4.10,score: 14,Hellfire,1
Christine  Bell (Goodreads Author),1368,3.47,score: 13,The Twisted Tale of Stormy Gale,1
Tanith Lee,1368,4.15,score: 13,Don’t Bite the Sun,1
Patricia Crossley,1370,liked,score: 12,Journey's End,1
Anne McCaffrey,1370,3.65,score: 12,Dinosaur Planet Survivors,1
Pamela Sargent (Goodreads Author),1370,3.39,score: 12,Farseed,1
Tanith Lee,1370,4.22,score: 12,Drinking Sapphire Wine,1
Susan Squires (Goodreads Author),1374,3.50,score: 11,Body Electric,1
Anne McCaffrey,1374,3.94,score: 11,Generation Warriors,1
Karin Shah (Goodreads Author),1376,3.66,score: 10,Starjacked,1
Kaitlyn O'Connor (Goodreads Author),1376,3.46,score: 10,Alien Abduction,1
Vanessa Veselka (Goodreads Author),1378,3.59,score: 8,Zazen,1
Marjorie F. Baldwin (Goodreads Author),1379,4.07,score: 7,When Minds Collide,1
Kim Knox (Goodreads Author),1380,3.79,score: 6,Synthetic Dreams,1
Alison Allen-Gray,1380,3.91,score: 6,Lifegame,1
Jeanine Berry,1382,3.25,score: 5,Alien Seduction,1
Meljean Brook,1382,3.83,score: 5,Fire & Frost,1
Robin Hobb (Goodreads Author),1382,3.96,score: 5,The Inheritance,1
Louise Lawrence,1382,3.97,score: 5,Children of the Dust,1
Jeanine Berry,1386,3.58,score: 4,The Sex Gates,1
Mary E. Bradley Lane,1386,2.95,score: 4,Mizora: A Prophecy,1
C.L. Moore,1386,3.87,score: 4,Northwest of Earth: The Complete Northwest Smith,1
Nina Croft (Goodreads Author),1389,3.29,score: 3,Tiger of Talmare,1
Pauline Baird Jones (Goodreads Author),1389,4.14,score: 3,Girl Gone Nova,1
K.D. Wentworth,1389,3.53,score: 3,Black on Black,1
Diane Dooley (Goodreads Author),1392,3.85,score: 2,Blue Nebula,1
K.D. Wentworth,1392,3.68,score: 2,Stars Over Stars,1
Meljean Brook,1394,3.95,score: 1,Heart of Steel,1
K.D. Wentworth,1394,3.14,score: 1,The Imperium Game,1
